operands_A,operands_B,sel,switching_power
546519182,593878590,1,0.0203474
3622993539,3614784167,1,0.0263722
2698602595,1355072912,1,0.0180435
2497182896,4277758858,0,0.0223054
1622405292,3495590022,0,0.0163811
3465034877,1459613555,0,0.0236933
2074657002,944822923,0,0.0168847
3452186221,1209720188,0,0.0186493
3930984964,2903218152,1,0.0198394
417900619,2994284854,0,0.0166349
3287169714,1159296091,1,0.0225799
1632792438,3958508865,0,0.0186493
3157735755,3652074447,0,0.0223054
86864077,3865638857,0,0.01903
1442014679,2513954325,0,0.0214211
1261429697,1458820432,0,0.0192798
2077255343,2257173139,1,0.023206
1479760072,4280647445,0,0.0197874
625766637,2499506489,1,0.0222257
660550510,3934457400,1,0.022698
2291427184,857418114,1,0.0184334
343677777,2382873398,1,0.0200755
368283074,2796514030,1,0.0238678
428066671,1056661035,0,0.0218018
1507466389,293689358,0,0.0143626
4185296699,2702530136,1,0.0234422
232754533,2747669573,1,0.0220719
4206929522,3380069958,1,0.0223438
1390260349,3020374640,1,0.0210559
3004836984,3119693248,0,0.0189031
1710008564,1735835099,1,0.0255099
2544812847,1858039669,1,0.0272701
385136112,2845518988,1,0.0219538
2528300997,4120826791,1,0.025628
18165441,2204100633,0,0.0156277
4028679546,3133706266,0,0.015247
1057868838,249853647,1,0.0228518
439883847,3480317249,0,0.0167618
3996155596,4198103193,1,0.024612
108152575,25557919,1,0.0229699
987768982,728159689,0,0.0172654
4100251306,3367386313,1,0.0230879
3353053314,4084361965,1,0.0232417
2934574160,1148919473,1,0.0205836
3118168795,1996523381,1,0.0250843
283876691,4060595306,1,0.0213277
3602885544,1641912768,0,0.0195296
1721747721,1504568598,1,0.0223438
133444165,1738405559,0,0.0209215
3407421487,1958527473,0,0.017769
1480748682,3651918140,0,0.0185264
2937424690,2458999733,0,0.0181457
758968564,336690905,0,0.0180188
3129588910,800700766,1,0.02512
723404543,1626296060,0,0.021548
3699836930,1771614723,0,0.0137362
1925808582,3381677153,1,0.0185515
3491621270,2442735371,0,0.0175152
3994580359,3828876328,0,0.0148662
3714454132,1733885465,0,0.0194067
2705450427,4141570402,1,0.0233598
1010193502,1454476389,1,0.0213277
2080462633,3814253938,1,0.0210916
4245272523,2049510931,0,0.0188991
3925172842,1938405053,1,0.024612
507696310,1540809603,0,0.0189031
1947318331,684044233,0,0.0176421
3799027164,3805164159,1,0.0233598
1557646792,728531608,1,0.0215639
1850205723,3368800622,1,0.0235959
2556580699,3608396892,1,0.0212096
3624777312,2713626015,0,0.01903
3272547699,3422269957,1,0.0234779
627545204,1938759588,1,0.0222257
4289290160,4028889899,0,0.0219247
4244768206,693536458,1,0.0201936
1909233696,245874065,0,0.0167618
2025574267,3878427245,1,0.0261003
1271729753,763051833,0,0.0206677
2635088770,3441594418,1,0.0166732
1863565827,1571322003,1,0.0205836
3126089412,711926777,0,0.0189031
1716334982,3673926880,0,0.01903
1216355174,3373398040,1,0.0171812
4183312753,157821740,0,0.0156236
3565492202,1836282130,0,0.0181457
422538390,449465186,1,0.0208197
4186011197,270067802,1,0.0205479
2664832524,493528077,0,0.0168847
3138301378,4108430715,1,0.0244939
2243429682,3752425787,0,0.0192838
354147015,2725737755,1,0.0234779
1471438129,3076376219,0,0.0211713
214831165,382052991,0,0.0178959
2840802166,478469337,1,0.0219538
3401999857,2771160205,0,0.0173883
1958148643,541431113,1,0.0205479
1005362970,3664904802,1,0.02219
262077126,3195784106,1,0.0262541
2890520632,1736275652,1,0.0221076
758280291,3251605883,0,0.0183995
2215155987,3766747757,0,0.0119716
1678047555,3061163568,0,0.0166349
72299279,331484216,1,0.0180435
1917085628,2270691240,1,0.0238678
2866970274,1768641878,1,0.0229699
508122275,3831537587,0,0.017769
423196878,47446053,0,0.0168847
1826380029,2667224115,1,0.0252381
1475668886,487927122,1,0.0233241
716802759,3389654180,0,0.0143626
2707986246,2060576899,1,0.0205836
2108137300,3750576604,0,0.0214211
724268910,1092340802,0,0.0171344
4129563229,10738751,0,0.0170116
3980397222,2014421974,1,0.0194494
2196335959,198116990,0,0.0192798
3984581595,1617412934,0,0.0209134
651243724,4022351246,0,0.0172654
52059638,1197036875,1,0.0218357
3414135138,3823781273,0,0.0197834
1828506743,3210120125,0,0.0233126
3339691671,3050926737,1,0.0235959
3581095979,2975429379,1,0.0213277
2133040377,2492282643,1,0.0238321
3023155692,1208655899,0,0.0143626
1466492397,239145463,0,0.0183955
1984269291,2943737641,1,0.025628
4065151735,794362119,0,0.0177649
1252368563,3891472474,0,0.0183995
3439251862,3395666620,0,0.0196565
4051791163,3887218745,1,0.0219538
1749581439,1958419369,1,0.024104
373274021,1954314272,0,0.0178919
43710273,3564576726,1,0.0226156
31530447,503487516,1,0.0191776
3343911079,3356282151,0,0.0153739
2650268277,3392309758,0,0.0212942
3826448202,2288967722,0,0.0162542
1238843591,3311856650,0,0.0170116
343886928,2469951315,1,0.0210916
657181471,2004581922,0,0.0216749
406012233,4150683045,0,0.0175192
221533458,873006532,1,0.0162833
1473737340,3709597073,0,0.0220516
3528010258,2401042573,0,0.0142398
4204669167,637771198,1,0.0243401
3022057633,365845363,1,0.0203474
2617458584,4266928291,0,0.0176421
3427709164,4224958719,1,0.0248838
3062529522,20112630,0,0.0183955
3448493616,2582791169,0,0.0156236
2010637184,1487430357,1,0.0220719
2577408080,845935951,1,0.0189771
3066080246,1559675461,0,0.0191529
203383279,2375867646,0,0.0211713
1682650438,3036838299,0,0.0171385
4225005534,3852063023,0,0.0229319
3919324395,4006112544,0,0.0180188
